half,minutes,seconds,play_type,team,first_name,last_name,davidson_score,opponent_score
1,8,57,REBOUND DEF,Davidson,BRIZZI,ANGELO,18,21
1,8,50,MISS LAYUP,Davidson,BRIZZI,ANGELO,18,21
1,8,47,REBOUND DEF,Charlotte,REIBER,DEAN,18,21
1,8,40,GOOD JUMPER,Charlotte,GRAVES,NIK,18,23
1,8,34,FOUL,Charlotte,JACKSON,DISHON,18,23
1,8,34,SUB OUT,Charlotte,REIBER,DEAN,18,23
1,8,34,SUB IN,Charlotte,MILICIC JR.,IGOR,18,23
1,8,34,SUB OUT,Davidson,BRIZZI,ANGELO,18,23
1,8,34,SUB IN,Davidson,SPADONE,ACHILE,18,23
1,8,24,GOOD LAYUP,Davidson,SKOGMAN,DAVID,20,23
1,8,24,ASSIST,Davidson,HUFFMAN,GRANT,20,23
1,8,0,MISS 3PTR,Charlotte,BRASWELL,ROBERT,20,23
1,7,58,REBOUND DEADB,Davidson,,,20,23
1,7,58,Timeout,Davidson,,,20,23
1,7,45,GOOD DUNK,Davidson,SKOGMAN,DAVID,22,23
1,7,45,ASSIST,Davidson,DURKIN,BOBBY,22,23
1,7,12,TURNOVER,Charlotte,MILICIC JR.,IGOR,22,23
1,6,54,MISS 3PTR,Davidson,DURKIN,BOBBY,22,23
1,6,51,REBOUND DEF,Charlotte,JACKSON,DISHON,22,23
1,6,51,FOUL,Davidson,SKOGMAN,DAVID,22,23
1,6,30,MISS JUMPER,Charlotte,GRAVES,NIK,22,23
1,6,27,REBOUND DEF,Davidson,SPADONE,ACHILE,22,23
1,6,20,MISS LAYUP,Davidson,SPADONE,ACHILE,22,23
1,6,20,BLOCK,Charlotte,BRASWELL,ROBERT,22,23
1,6,16,REBOUND DEF,Charlotte,GRAVES,NIK,22,23
1,6,1,FOUL,Davidson,ADAM,HUNTER,22,23
1,6,1,SUB OUT,Charlotte,JACKSON,DISHON,22,23
1,6,1,SUB OUT,Charlotte,BERRY,DAYLEN,22,23
1,6,1,SUB OUT,Charlotte,BRASWELL,ROBERT,22,23
1,6,1,SUB IN,Charlotte,THREADGILL,JACKSON,22,23
1,6,1,SUB IN,Charlotte,PATTERSON,LU'CYE,22,23
1,6,1,SUB IN,Charlotte,NIAGU,IAROSLAV,22,23
1,6,1,SUB OUT,Davidson,SKOGMAN,DAVID,22,23
1,6,1,SUB IN,Davidson,BAILEY,REED,22,23
1,5,51,MISS LAYUP,Charlotte,NIAGU,IAROSLAV,22,23
1,5,49,REBOUND DEF,Davidson,BAILEY,REED,22,23
